STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
3150,MANER (SPECIFY LOCATION),Bihar,22,29,26,7.5,7.6,7.6,567,781,674,NA,NA,NA,NA,NA,NA,2,4,3,4,8,6
3151,MOHANIA (SPECIFY LOCATION),Bihar,22,30,26,6.9,7.1,7,809,1110,960,NA,NA,NA,NA,NA,NA,2,2,2,8,8,8
3152,NARKATIAGANJ (SPECIFY LOCATION),Bihar,28,28,28,7.5,7.5,7.5,342,342,342,NA,NA,NA,NA,NA,NA,9,9,9,13,13,13
3153,PIRO (SPECIFY LOCATION),Bihar,34,34,34,8,8,8,682,682,682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3154,RAMKUND GAYA (SPECIFY LOCATION),Bihar,30,30,30,8.4,8.4,8.4,648,648,648,NA,NA,NA,NA,NA,NA,15,15,15,43,43,43
3155,SUPUAL (SPECIFY LOCATION),Bihar,27,28,28,7.4,7.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,5,4,17,11
3156,SAMASTIPUR (SPECIFY LOCATION),Bihar,28,31,30,7.3,7.3,7.3,590,1200,895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3157,SULTANGANJ (SPECIFY LOCATION),Bihar,25,26,26,7.2,7.6,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,4,4
3158,SHERGHATI (SPECIFY LOCATION),Bihar,32,32,32,8.4,8.4,8.4,715,715,715,NA,NA,NA,NA,NA,NA,23,23,23,93,93,93
3159,SHAHPUR (SPECIFY LOCATION),Bihar,23,30,27,7.3,7.6,7.5,612,880,746,NA,NA,NA,NA,NA,NA,7,11,9,14,30,22
3161,KATIHAR (SPECIFY LOCATION),Bihar,25,26,26,7.4,7.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,8,9,9
3162,VAISHALI (SPECIFY LOCATION),Bihar,29,29,29,7.5,7.5,7.5,918,918,918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1533,"*DIGBOI, TINSUKIA DISTT.,  ASSAM",Assam,21,24,23,6.2,6.7,6.5,203,748,476,0.9,1.5,1.2,0.57,1,1,NA,NA,NA,NA,NA,NA
1534,"*KARBI  ANGLONG DISTT., ASSAM",Assam,24,24,24,5.8,5.8,5.8,347,347,347,1.7,1.7,1.7,0.63,1,1,NA,NA,NA,NA,NA,NA
1535,"*SIBSAGAR , ASSAM",Assam,24,24,24,6.5,7.2,6.9,396,612,504,0.9,2.6,1.8,0.62,1,1,NA,NA,NA,NA,NA,NA
1536,"*SIBSAGAR, ASSAM",Assam,24,30,27,6,6.7,6.4,118,262,190,2.1,3.9,3,0.53,1,1,NA,NA,NA,NA,NA,NA
1537,"*(JORHAT, ASSAM",Assam,24,25,25,6.3,7,6.7,412,517,465,1.4,4.3,2.9,0.89,1,1,NA,NA,NA,NA,NA,NA
1538,"*SILCHAR, ASSAM",Assam,18,19,18,6.2,7.2,6.7,106,520,313,1.2,3.6,2.4,2.2,0,2,NA,NA,NA,NA,NA,NA
1539,"*BARPETA, ASSAM",Assam,26,27,27,6.8,7.4,7.1,591,1065,828,1.5,2.1,1.8,0.7,1,1,NA,NA,NA,NA,NA,NA
1540,"*BONAIGAON, ASSAM",Assam,24,29,26,6,6.1,6.1,184,314,249,1.7,1.9,1.8,4,6,5.7,NA,NA,NA,NA,NA,NA
1541,"*GUWAHATI, ASSAM",Assam,24,26,25,6.6,7.5,7.1,206,450,328,0.4,1.1,0.8,0.12,1,1,NA,NA,NA,NA,NA,NA
1542,"*GUWAHATI, ASSAM",Assam,22,23,23,6,6.7,6.4,340,740,540,0.8,1.8,1.3,5.7,6,6,910,910,910,730,2100,1415
2243,"GROUND WATER FROM LEDO, MARGHERITA",Assam,21,22,22,5.3,6,5.7,417,506,462,0.6,0.6,0.6,1.3,1.3,1.3,NA,NA,NA,NA,NA,NA
2244,GROUND WATER FROM NAZIRA,Assam,22,25,24,6.3,7,6.7,288,418,353,2.9,3,3,3.4,3.4,3.4,NA,NA,NA,NA,NA,NA
2245,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),Assam,24,30,27,5.4,6.1,5.8,100,361,231,1.7,2.7,2.2,0.79,1,1,NA,NA,NA,360,360,360
2246,GROUND WATER FROM SEMENCHAPARI,Assam,21,23,22,6.2,6.6,6.4,162,270,216,1.6,1.9,1.8,0.63,1,1,NA,NA,NA,NA,NA,NA
